gene_symbol,node_name,oncoKB
ATF2,ATF2,
ATM,ATM,Tumor Suppressor
ELK1,ELK1,
FOS,FOS,
FRS2,FRS2,
GAB1,GAB1,Oncogene
GRB2,GRB2,
JUN,JUN,Oncogene
PRKCA,PKC,
PRKCB,PKC,
PRKCG,PKC,
RAF1,RAF,Oncogene
BRAF,RAF,Oncogene
ARAF,RAF,Oncogene
RPS6KA1,RSK,
RPS6KA2,RSK,
RPS6KA3,RSK,
RPS6KA6,RSK,
TAOK1,TAOK,
TAOK2,TAOK,
TAOK3,TAOK,
GADD45A,GADD45,
GADD45B,GADD45,
GADD45G,GADD45,
MDM2,MDM2,Oncogene
MAP3K4,MTK1,
MYC,MYC,Oncogene
CDKN2A,p14,Tumor Suppressor
CDKN1A,p21,Tumor Suppressor
MAPK11,p38,
MAPK12,p38,
MAPK13,p38,
MAPK14,p38,
TP53,p53,Tumor Suppressor
SMAD2,SMAD,Tumor Suppressor
SMAD3,SMAD,Tumor Suppressor
SMAD4,SMAD,Tumor Suppressor
MAP3K7,TAK1,
TGFBR1,TGFBR,Tumor Suppressor
TGFBR2,TGFBR,Tumor Suppressor
TGFBR3,TGFBR,
AKT1,AKT,Oncogene
AKT2,AKT,Oncogene
AKT3,AKT,Oncogene
BCL2,BCL2,Oncogene
CREB1,CREB,Oncogene
DUSP1,DUSP1,
FGFR3,FGFR3,Oncogene
FOXO3,FOXO3,
MAP3K1,MAP3K1_3,Tumor Suppressor
MAP3K2,MAP3K1_3,
MAP3K3,MAP3K1_3,
MAX,MAX,Tumor Suppressor
RPS6KA4,MSK,Oncogene
RPS6KA5,MSK,
RPS6KB1,p70,
RPS6KB2,p70,Oncogene
PDK1,PDK1,
PIK3CA,PI3K,Oncogene
PLCG1,PLCG,Oncogene
PLCG2,PLCG,Oncogene
PPP2CA,PPP2CA,
PTEN,PTEN,Tumor Suppressor
HRAS,RAS,Oncogene
KRAS,RAS,Oncogene
NRAS,RAS,Oncogene
SOS1,SOS,Oncogene
SOS2,SOS,
SPRY2,SPRY,
EGFR,EGFR,Oncogene
MAPK1,ERK,Oncogene
MAPK3,ERK,Oncogene
MAPK8,JNK,
MAPK9,JNK,
MAP2K1,MEK1_2,Oncogene
MAP2K2,MEK1_2,Oncogene
