node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
uPAR	C1	False	False	False	False	False	0
Akt	C3	True	False	False	False	False	0
PKC	C1	False	False	False	False	False	0
IL8	C0	False	False	True	True	True	0
cJUN	C1	False	False	True	False	False	0
Ca	C0	False	False	True	True	True	0
CDK2	C0	False	False	True	True	True	0
SOS	C0	False	False	True	True	True	0
AP1	C3	False	False	False	False	False	0
ECM	C0	False	False	False	False	False	0
Raf	C0	False	False	True	True	False	0
Integrins	C3	False	False	False	False	False	0
EGFR	C0	False	False	False	False	False	0
MMP1_10	C3	True	False	False	False	False	0
MLK3	C0	False	False	True	True	False	0
RSK	C0	False	False	False	False	False	0
CTGF	C3	False	False	True	True	True	0
Mekk1	C0	False	False	True	True	False	0
Fak	C0	False	False	True	True	True	0
uPA	C0	False	False	False	False	False	0
STAT3	C0	False	False	True	True	True	0
DAG	C0	False	False	True	True	True	0
Mkk4	C0	False	False	True	False	False	0
JNK	C3	False	False	False	False	False	0
PLC_g	C0	False	False	False	False	False	0
p38	C1	False	False	False	False	False	0
PAK2	C3	False	False	True	True	False	0
PAK1	C0	False	False	True	False	False	0
CDKN1A	C3	False	False	True	True	True	0
ATF2	C3	False	False	True	False	False	0
cFOS	C0	False	False	True	True	True	0
MET	C3	True	False	False	False	False	0
Shc	C0	False	False	False	False	True	0
Mekk7	C3	False	False	True	True	True	0
CyclinD	C1	False	False	False	False	False	0
PTGS2	C1	False	False	False	False	False	0
Ras	C0	False	False	True	False	False	0
CRKL	C1	False	False	True	True	True	0
Mek	C1	False	False	True	False	False	0
ETS	C3	False	False	True	True	True	0
PAK3	C0	False	False	True	True	True	0
DOCK180	C0	False	False	True	False	False	0
Rap1	C0	False	False	False	False	False	0
Erk	C3	False	False	False	False	False	0
CCL20	C1	False	False	True	True	True	0
C3G	C1	False	False	False	False	False	0
CDKN2A	C0	False	False	True	True	True	0
HBEGF	C0	False	False	False	False	False	0
Grb2	C0	False	False	False	False	False	0
Mkk3	C1	False	False	True	True	True	0
Cdc42_Rac1	C1	False	False	False	False	False	0
Plasmin	C1	False	False	False	False	False	0
IP3	C1	False	False	True	True	True	0
Mkk6	C3	True	False	True	True	True	0
PI3K	C3	False	False	True	True	False	0
Elk1	C3	True	False	True	True	True	0
Mekk4	C1	True	False	True	True	True	0
