node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
S1P	C0	False	False	True	True	True	0
JUN	C0	False	False	False	False	False	0
AKT	C1	True	True	False	False	False	0
TREG	C0	False	False	False	False	False	0
BCATENIN	C0	False	False	False	False	False	0
FOS	C1	False	True	True	True	True	0
TBID	C0	False	False	False	False	False	0
P53	C0	False	False	False	False	False	0
TH2	C0	False	False	True	False	False	0
TH1	C0	False	False	False	False	False	0
CYTC	C0	False	False	True	True	True	0
CYCLIND1	C1	False	True	False	False	True	0
CCL2	C0	False	False	False	False	False	0
TNFA	C1	True	True	True	True	False	0
GSK3B	C1	True	True	False	False	False	0
MDM2	C0	False	False	False	False	False	0
ATM	C0	False	False	False	False	False	0
STAT3	C0	False	False	False	False	False	0
SOCS	C0	False	False	False	False	False	0
EP2	C0	False	False	False	False	False	0
JNK	C0	False	False	False	False	False	0
DC	C0	False	False	False	False	False	0
MOMP	C0	False	False	False	False	False	0
IAP	C1	True	True	False	False	False	0
CASP8	C0	False	False	True	False	False	0
SPHK1	C0	False	False	True	True	False	0
TNFR	C1	True	True	False	False	False	0
COX2	C0	False	False	False	False	False	0
GP130	C0	False	False	False	False	False	0
PGE2	C0	False	False	False	False	False	0
MEK	C1	False	True	True	True	False	0
ROS	C0	False	False	True	False	False	0
FAS	C0	False	False	False	True	False	0
RAS	C0	False	False	True	True	False	0
BCL2	C0	False	False	False	False	False	0
RAF	C0	False	False	False	True	True	0
CFLIP	C0	False	False	True	True	True	0
IL10	C0	False	False	False	False	False	0
NFKB	C1	True	True	False	False	False	0
CERAMIDE	C0	False	False	True	False	False	0
BAX	C0	False	False	True	True	True	0
TGFR	C0	False	False	False	True	False	0
IFNG	C0	False	False	True	False	False	0
SMAD7	C0	False	False	False	True	False	0
SMASE	C0	False	False	True	False	False	0
IL6	C0	False	False	False	False	False	0
MAC	C1	True	True	True	False	False	0
TGFB	C0	False	False	True	False	False	0
PP2A	C0	False	False	False	False	False	0
FADD	C0	False	False	True	False	False	0
SOD	C0	False	False	False	True	True	0
IL12	C0	False	False	True	True	True	0
ASK1	C0	False	False	True	False	False	0
CASP3	C3	True	True	False	False	False	0
MEKK1	C0	False	False	True	False	False	0
IL4	C0	False	False	True	True	True	0
IKK	C1	True	True	False	False	False	0
ERK	C1	False	True	True	False	False	0
CASP9	C0	False	False	True	False	False	0
JAK	C0	False	False	False	False	False	0
CTL	C0	False	False	True	False	False	0
PTEN	C0	False	False	False	False	False	0
SMAD	C0	False	False	True	False	False	0
PI3K	C0	False	False	False	False	False	0
SMAC	C0	False	False	True	False	False	0
P21	C1	True	True	False	False	False	0
IKB	C1	False	True	False	True	False	0
