node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
PLCG	C1	False	True	False	False	False	0
PKC	C0	False	False	True	False	False	0
AKT	C1	True	True	False	False	False	0
JUN	C0	False	False	True	True	True	0
p21	C3	True	False	True	False	False	0
MSK	C1	False	False	True	False	False	0
FOS	C0	False	False	False	False	False	0
MYC	C3	False	False	False	False	False	0
TGFBR	C3	True	False	False	False	False	0
AP1	C1	True	False	False	False	False	0
SOS	C1	False	False	False	False	False	0
EGFR	C2	False	True	True	False	False	0
RSK	C0	False	False	True	False	False	0
MDM2	C3	False	True	True	False	False	0
TAOK	C0	False	False	False	False	False	0
ATM	C0	False	False	False	False	False	0
p14	C3	False	False	True	True	True	0
MAX	C1	False	False	True	True	True	0
JNK	C2	True	False	True	True	False	0
MEK1_2	C2	True	True	False	False	False	0
p38	C3	True	False	False	False	False	0
PPP2CA	C1	True	False	True	True	True	0
ATF2	C0	False	False	True	True	True	0
FOXO3	C1	False	False	True	True	True	0
GADD45	C3	False	False	False	False	False	0
CREB	C1	False	False	True	False	False	0
RAS	C1	False	False	False	False	False	0
BCL2	C1	True	True	True	True	True	0
FGFR3	C1	False	True	True	False	False	0
RAF	C0	False	False	True	True	False	0
GAB1	C0	False	False	True	True	True	0
MTK1	C3	False	False	False	False	False	0
SPRY	C1	False	True	False	False	False	0
TAK1	C3	False	False	False	False	False	0
PDK1	C1	False	False	False	False	False	0
GRB2	C0	False	False	False	False	False	0
DUSP1	C1	False	False	False	False	False	0
MAP3K1_3	C1	False	False	False	False	False	0
ELK1	C0	False	False	False	False	False	0
ERK	C2	True	True	False	False	False	0
PTEN	C1	False	False	True	True	False	0
p70	C1	False	True	True	True	False	0
SMAD	C3	False	False	False	True	True	0
PI3K	C1	False	False	False	False	False	0
FRS2	C0	False	False	True	True	True	0
p53	C3	True	False	True	False	False	0
