node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
Akt	C0	False	False	False	False	False	0
PKC	C0	False	False	False	False	False	0
AC	C0	False	False	False	False	False	0
Talin	C1	False	True	False	False	False	0
Cdc42	C0	False	False	False	False	False	0
Ca	C0	False	False	False	False	False	0
Raf_DeP	C0	False	False	True	True	True	0
Cas	C0	False	False	False	False	False	0
PLD	C0	False	False	False	False	False	0
Nck	C0	False	False	True	False	False	0
EGFR	C0	False	False	False	False	False	0
PIP3_345	C0	False	False	False	False	False	0
TAO_12	C0	False	False	False	False	False	0
RalGDS	C0	False	False	False	False	False	0
Raf_Loc	C0	False	False	True	True	True	0
Gbg_1213	C0	False	False	True	False	False	0
PAK	C0	False	False	False	False	False	0
ARF	C0	False	False	False	False	False	0
alpha_sR	C0	False	False	False	False	False	0
Mekk3	C0	False	False	False	False	False	0
MLCP	C0	False	False	True	True	True	0
Tpl2	C0	False	False	True	True	True	0
CaM	C0	False	False	False	False	False	0
Shc	C0	False	False	True	False	False	0
MKK3	C0	False	False	True	True	True	0
Pix_Cool	C0	False	False	False	False	False	0
Myosin	C0	False	False	False	False	False	0
Gas	C0	False	False	True	False	False	0
MLCK	C0	False	False	True	True	False	0
Rap1	C0	False	False	False	False	True	0
DOCK180	C0	False	False	False	False	True	0
PDK1	C0	False	False	False	False	False	0
Trx	C0	False	False	True	False	False	0
ASK1	C0	False	False	False	False	False	0
cAMP	C0	False	False	False	False	False	0
Gbg_q	C0	False	False	True	False	False	0
Mekk4	C0	False	False	True	True	True	0
Csk	C0	False	False	False	False	False	0
Palpha_1213R	C0	False	False	True	False	False	0
ILK	C0	False	False	True	False	False	0
Arp_23	C0	False	False	True	False	True	0
Palpha_iR	C0	False	False	False	False	False	0
RGS	C0	False	False	False	False	False	0
Integrins	C0	False	False	False	False	False	0
SAPK	C0	False	False	False	False	False	0
DAG	C0	False	False	False	False	False	0
PTPa	C0	False	False	True	True	True	0
PLC_g	C0	False	False	False	False	False	0
p38	C0	False	False	False	False	False	0
Rho	C0	False	False	False	False	False	0
MKK7	C0	False	False	True	True	True	0
RKIP	C0	False	False	True	False	False	0
Gbg_s	C0	False	False	True	True	True	0
Rac	C0	False	False	False	False	False	0
Ras	C0	False	False	False	False	False	0
Cbp	C0	False	False	True	True	True	0
Mek	C0	False	False	False	False	False	0
PKC_primed	C0	False	False	True	True	True	0
PLA2	C0	False	False	False	False	False	0
p115RhoGEF	C0	False	False	True	False	False	0
Grb2	C0	False	False	False	False	False	0
PTPPEST	C0	False	False	False	False	False	0
Mekk2	C0	False	False	False	False	False	0
AND_34	C0	False	False	True	False	False	0
PTEN	C0	False	False	False	False	False	0
RhoGDI	C0	False	False	False	False	False	0
Raf_Rest	C0	False	False	True	True	True	0
PI3K	C0	False	False	False	False	False	0
Gab1	C0	False	False	False	False	False	0
PKA	C0	False	False	False	False	False	0
WASP	C0	False	False	False	False	False	0
SHP2	C0	False	False	False	False	False	0
RalBP1	C0	False	False	True	False	False	0
CaMK	C0	False	False	False	False	False	0
MLK3	C0	False	False	True	True	True	0
Sek1	C0	False	False	True	True	True	0
Mekk1	C0	False	False	False	False	False	0
IL1_TNFR	C0	False	False	False	False	False	0
Ral	C0	False	False	True	False	False	0
MKK6	C0	False	False	True	True	True	0
alpha_1213R	C0	False	False	False	False	False	0
Ga_1213	C0	False	False	False	False	False	0
Tiam	C0	False	False	False	False	False	0
p90RSK	C0	False	False	True	True	False	0
PIP2_34	C0	False	False	True	False	False	0
TAK1	C0	False	False	False	False	False	0
PIP2_45	C0	False	False	False	False	False	0
MKPs	C0	False	False	False	False	False	0
Gai	C0	False	False	False	False	False	0
DGK	C0	False	False	True	True	True	0
Palpha_sR	C0	False	False	True	False	False	0
alpha_iR	C0	False	False	False	False	False	0
PP2A	C0	False	False	False	False	False	0
Gaq	C0	False	False	False	False	False	0
RasGRF_GRP	C0	False	False	False	False	False	0
PI5K	C0	False	False	False	False	False	0
IP3	C0	False	False	False	False	False	0
p120RasGAP	C0	False	False	False	False	False	0
p190RhoGAP	C0	False	False	False	False	False	0
AA	C0	False	False	False	False	False	0
Palpha_qR	C0	False	False	True	True	True	0
Sos	C0	False	False	False	False	False	0
RhoK	C0	False	False	False	False	False	0
IP3R1	C0	False	False	False	False	False	0
PI4K	C0	False	False	False	False	False	0
Graf	C0	False	False	True	True	True	0
Raf	C0	False	False	False	False	False	0
PDE4	C0	False	False	True	False	False	0
CaMKK	C0	False	False	True	True	True	0
Fak	C0	False	False	False	False	False	0
MLK1	C0	False	False	True	True	True	0
GCK	C0	False	False	True	True	True	0
Tab_12	C0	False	False	True	False	False	0
B_Parvin	C0	False	False	True	True	True	0
Crk	C0	False	False	True	False	True	0
alpha_qR	C0	False	False	False	False	False	0
Actin	C0	False	False	True	False	False	0
Gbg_i	C0	False	False	False	False	False	0
Erk	C0	False	False	False	False	False	0
B_Arrestin	C0	False	False	False	False	False	0
PA	C0	False	False	False	False	False	0
NIK	C0	False	False	True	False	True	0
MLK2	C0	False	False	True	False	False	0
PTP1b	C0	False	False	False	False	False	0
Trafs	C0	False	False	False	False	False	0
GRK	C0	False	False	False	False	False	0
PLC_B	C0	False	False	True	False	False	0
Src	C0	False	False	False	False	False	0
